"CÓDIGO","DESCRIPCION","LATITUD","LONGITUD","DIRECCIÓN","C.P.","POBLACION","PROVINCIA","PAIS","CERCANIAS","FEVE"
"11208","VITORIA/GASTEIZ","42,8415284","-2,6726651","PLAZUELA DE LA ESTACION, 1","01005","Vitoria-Gasteiz","Araba/Álava","España","NO","NO"
"11212","AGURAIN/SALVATIERRA DE ALAVA","42,8464369","-2,3892266","TREBIÑO KALEA, S/N","01200","Salvatierra/Agurain","Araba/Álava","España","NO","NO"
"11213","ARAIA","42,8694713","-2,3068018","CALLE ESTACION FERROCARRIL, S/N","01208","Arraia-Maeztu","Araba/Álava","España","NO","NO"
"11203","MANZANOS","42,7428754","-2,8675305","RIO ZADORRA KALEA, S/N","01220","Ribera Baja/Erribera Beitia","Araba/Álava","España","NO","NO"
"11205","NANCLARES-LANGRAIZ","42,8162344","-2,8049335","LA ESTACION KALEZ, S/N","01230","Iruña Oka/Iruña de Oca","Araba/Álava","España","NO","NO"
"11210","ALEGRIA-DULANTZI","42,8488289","-2,5145516","CALLE ESTACION FERROCARRIL, S/N","01240","Alegría-Dulantzi","Araba/Álava","España","NO","NO"
"13104","SANTA CRUZ DE LLODIO","43,132826","-2,969878","POLIGONO INDRUSTRIALDEA, S/N","01400","Laudio/Llodio","Araba/Álava","España","SI","NO"
"13106","LLODIO","43,14236","-2,960654","JOSE MATIA KALEA, S/N","01400","Laudio/Llodio","Araba/Álava","España","SI","NO"
"13107","ARETA","43,145122","-2,94342","ESTACION BIDEA, 4","01400","Laudio/Llodio","Araba/Álava","España","SI","NO"
"13103","LUIAONDO","43,093579","-2,999671","OLOSTE KALEA, S/N","01408","Ayala/Aiara","Araba/Álava","España","SI","NO"
"13101","AMURRIO","43,049155","-3,001748","KALEA DIONISIO ALDAMA, 15","01470","Amurrio","Araba/Álava","España","SI","NO"
"13102","SALBIO","43,074147","-2,999397","URRIETA KALEA, S/N","01470","Amurrio","Araba/Álava","España","SI","NO"
"13116","IÑARRATXU","43,035792","-3,003896","SARATXO ENTITATEA, S/N","01470","Amurrio","Araba/Álava","España","SI","NO"
"13121","AMURRIO IPARRALDE","43,05771","-2,996331","JUAN DE ARANOA KALEA, S/N","01470","Amurrio","Araba/Álava","España","SI","NO"
"60600","ALBACETE LOS LLANOS","39,0002979","-1,8487356","CALLE FEDERICO GARCIA LORCA, 1","02001","Albacete","Albacete","España","NO","NO"
"60507","LA GINETA","39,1117194","-2,000316","CALLE SANTA ANA, S/N","02110","Gineta, La","Albacete","España","NO","NO"
"61005","HELLIN","38,5088565","-1,688572","PASEO YUTERA DEL CARMEN, S/N","02400","Hellín","Albacete","España","NO","NO"
"60500","VILLARROBLEDO","39,2608516","-2,5985537","CALLE JUAN FERREIRA, S/N","02600","Villarrobledo","Albacete","España","NO","NO"
"60503","MINAYA","39,240726","-2,3484434","CALLE ESTACION FERROCARRIL, S/N","02620","Minaya","Albacete","España","NO","NO"
"60505","LA RODA DE ALBACETE","39,199397","-2,1628953","PLAZA ESTACION FERRACARRIL, S/N","02630","Roda, La","Albacete","España","NO","NO"
"60800","ALMANSA","38,8677729","-1,1054355","PLAZA PRIMERO DE MAYO, 1","02640","Almansa","Albacete","España","NO","NO"
"60901","CAUDETE","38,7161493","-0,9597129","CARRETERA CV-656 - ESTACION FERROCARRIL, S/N","02660","Caudete","Albacete","España","NO","NO"
"60911","ALACANT-TERMINAL","38,3444718","-0,494986","AVENIDA SALAMANCA, 1","03005","Alicante/Alacant","Alicante/Alacant","España","SI","NO"
"62109","SANT GABRIEL","38,3254162","-0,5110989","AVENIDA DE ELCHE, S/N","03005","Alicante/Alacant","Alicante/Alacant","España","SI","NO"
"62102","ELX-CARRUS","38,2685601","-0,7081489","AVENIDA DE LA LIBERTAD, S/N","03201","Elche/Elx","Alicante/Alacant","España","SI","NO"
"62103","ELX-PARC","38,2726","-0,6918606","AVENIDA DEL FERROCARRIL, 10","03202","Elche/Elx","Alicante/Alacant","España","SI","NO"
"62002","ORIHUELA MIGUEL HERNANDEZ","38,076976","-0,9457302","AVENIDA TEODOMIRO, 68","03300","Orihuela","Alicante/Alacant","España","SI","NO"
"62104","TORRELLANO","38,2893867","-0,5831663","CALLE CASA CAMPO TORRELLANO ALTO P3, 82","03320","Elche/Elx","Alicante/Alacant","España","SI","NO"
"62101","CREVILLENTE","38,2243441","-0,7813096","BARRIO ESTACION FERROCARRIL, S/N","03330","Crevillent","Alicante/Alacant","España","SI","NO"
"62100","SAN ISIDRO-ALBATERA-CATRAL","38,1670053","-0,8379982","CAMINO DE LA ESTACION, 16","03349","Albatera","Alicante/Alacant","España","SI","NO"
